Problema,OG,M3GP,OTDD,MD_train_m3gp,MD_train_og,% ERROR train,MD_test_m3gp,MD_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Heart,Heart_1,Heart_1,5.1479,94.709,85.1852,64.2857,80.2469,83.9506,-23.0769,16,13,3,219,1,13
Heart,Heart_2,Heart_2,5.0796,97.3545,91.5344,68.75,77.7778,76.5432,5.2632,16,13,3,113,1,13
Heart,Heart_3,Heart_3,5.1899,96.2963,87.3016,70.8333,81.4815,80.2469,6.25,17,13,4,160,1,13
Heart,Heart_4,Heart_4,2.0144,91.5344,86.7725,36,80.2469,76.5432,15.7895,6,13,-7,85,0.9991,6
Heart,Heart_5,Heart_5,0.999,93.1217,87.8307,43.4783,69.1358,79.0124,-47.0588,4,13,-9,93,0.9797,4
Heart,Heart_6,Heart_6,4.3095,94.709,89.418,50,75.3086,75.3086,0,11,13,-2,110,0.9999,11
Heart,Heart_7,Heart_7,0.3889,89.418,90.4762,-11.1111,75.3086,71.6049,13.0435,1,13,-12,52,0.679,1
Heart,Heart_8,Heart_8,3.8916,94.1799,88.3598,50,85.1852,77.7778,33.3333,11,13,-2,104,0.9999,11
Heart,Heart_9,Heart_9,5.0008,94.709,87.8307,56.5217,86.4198,80.2469,31.25,13,13,0,104,1,13
Heart,Heart_10,Heart_10,4.7887,95.2381,88.3598,59.0909,80.2469,79.0124,5.8824,13,13,0,100,1,13
Heart,Heart_11,Heart_11,4.4685,94.1799,85.1852,60.7143,83.9506,83.9506,0,12,13,-1,117,1,12
Heart,Heart_12,Heart_12,3.2889,91.0053,85.7143,37.037,80.2469,76.5432,15.7895,10,13,-3,59,0.9999,10
Heart,Heart_13,Heart_13,4.85,95.7672,89.9471,57.8947,76.5432,72.8395,13.6364,16,13,3,81,1,13
Heart,Heart_14,Heart_14,0.6164,90.4762,91.5344,-12.5,82.7161,79.0124,17.6471,3,13,-10,74,0.9544,3
Heart,Heart_15,Heart_15,3.2243,93.6508,89.418,40,79.0124,79.0124,0,10,13,-3,103,0.9999,10
Heart,Heart_16,Heart_16,5.2082,96.8254,88.8889,71.4286,77.7778,80.2469,-12.5,15,13,2,126,1,13
Heart,Heart_17,Heart_17,2.1193,92.5926,87.8307,39.1304,79.0124,85.1852,-41.6667,6,13,-7,87,0.999,6
Heart,Heart_18,Heart_18,3.3467,94.709,88.3598,54.5455,75.3086,81.4815,-33.3333,10,13,-3,97,0.9999,10
Heart,Heart_19,Heart_19,3.8247,95.7672,88.3598,63.6364,79.0124,80.2469,-6.25,11,13,-2,180,0.9999,11
Heart,Heart_20,Heart_20,3.2486,92.5926,88.3598,36.3636,82.7161,81.4815,6.6667,10,13,-3,97,0.9999,10
