Problema,OG,M3GP,OTDD,MLR_train_m3gp,MLR_train_og,% ERROR train,MLR_test_m3gp,MLR_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Concrete,Concrete_1,Concrete_1,3.216996,4.9447,10.214,51.58899,14.9932,10.39602,-44.2205,35,8,27,392,1,8
Concrete,Concrete_2,Concrete_2,2.709221,5.07009,10.20356,50.31056,6.79132,10.3909,34.64167,36,8,28,529,1,8
Concrete,Concrete_3,Concrete_3,3.297124,5.11782,10.20975,49.87322,7.75156,10.41102,25.54465,34,8,26,207,1,8
Concrete,Concrete_4,Concrete_4,2.969257,4.98545,10.25142,51.36822,5.84219,10.28388,43.19082,32,8,24,481,1,8
Concrete,Concrete_5,Concrete_5,4.863396,5.26001,10.23506,48.60791,13.60863,10.33985,-31.6134,35,8,27,398,1,8
Concrete,Concrete_6,Concrete_6,5.551138,4.88666,10.25543,52.35051,7.12731,10.29292,30.75524,32,8,24,741,1,8
Concrete,Concrete_7,Concrete_7,2.859708,4.96524,10.21609,51.39786,5.5846,10.38818,46.24084,34,8,26,589,1,8
Concrete,Concrete_8,Concrete_8,3.107315,4.94547,10.26906,51.84105,5.56778,10.24705,45.66456,32,8,24,349,1,8
Concrete,Concrete_9,Concrete_9,2.815409,5.04803,10.18041,50.41429,14.82001,10.48054,-41.4051,39,8,31,488,1,8
Concrete,Concrete_10,Concrete_10,2.425319,5.10576,10.14958,49.69487,14.20134,10.51553,-35.0511,33,8,25,452,1,8
Concrete,Concrete_11,Concrete_11,4.380484,5.11792,10.23742,50.00772,10.28686,10.339,0.504285,39,8,31,540,1,8
Concrete,Concrete_12,Concrete_12,3.842455,5.11974,10.22719,49.93991,13.12342,10.3375,-26.9496,38,8,30,399,1,8
Concrete,Concrete_13,Concrete_13,2.552219,5.00323,10.1844,50.87361,6.43932,10.46337,38.45844,36,8,28,555,1,8
Concrete,Concrete_14,Concrete_14,5.850953,5.12581,10.21129,49.8025,12.99398,10.37016,-25.3016,36,8,28,459,1,8
Concrete,Concrete_15,Concrete_15,2.340069,5.19543,10.19497,49.03929,20.34345,10.43475,-94.9588,36,8,28,433,1,8
Concrete,Concrete_16,Concrete_16,5.63909,5.09378,10.20892,50.10459,6.10572,10.38802,41.22345,35,8,27,350,1,8
Concrete,Concrete_17,Concrete_17,2.631955,5.17401,10.32038,49.8661,15.88771,10.14553,-56.5981,33,8,25,548,1,8
Concrete,Concrete_18,Concrete_18,6.460054,5.1665,10.20988,49.39707,13.72964,10.38112,-32.2559,33,8,25,458,1,8
Concrete,Concrete_19,Concrete_19,2.938284,4.97846,10.26821,51.5158,6.22572,10.23898,39.19592,34,8,26,747,1,8
